orgao_sigla,entry_type,field,original,normalizado,method,score,variation_type
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
